,Precinct,State Code,Count,State Name
660,24.0,AZ,48,Arizona
661,24.0,CA,24,California
662,24.0,CO,10,Colorado
663,24.0,CT,199,Connecticut
664,24.0,DC,3,District of Columbia
665,24.0,DE,12,Delaware
666,24.0,FL,114,Florida
667,24.0,GA,28,Georgia
668,24.0,IA,14,Iowa
669,24.0,ID,5,Idaho
670,24.0,IL,54,Illinois
671,24.0,IN,164,Indiana
672,24.0,KS,4,Kansas
673,24.0,KY,1,Kentucky
674,24.0,LA,7,Louisiana
675,24.0,MA,149,Massachusetts
676,24.0,MD,70,Maryland
677,24.0,ME,14,Maine
678,24.0,MI,23,Michigan
679,24.0,MN,26,Minnesota
680,24.0,MO,2,Missouri
681,24.0,MS,4,Mississippi
682,24.0,NC,40,North Carolina
683,24.0,NE,1,Nebraska
684,24.0,NH,14,New Hampshire
685,24.0,NJ,1651,New Jersey
686,24.0,NM,4,New Mexico
687,24.0,NV,3,Nevada
688,24.0,NY,9413,New York
689,24.0,OH,27,Ohio
690,24.0,OK,36,Oklahoma
691,24.0,OR,2,Oregon
692,24.0,PA,281,Pennsylvania
693,24.0,PR,1,Puerto Rico
694,24.0,RI,11,Rhode Island
695,24.0,SC,14,South Carolina
696,24.0,SD,3,South Dakota
697,24.0,TN,18,Tennessee
698,24.0,TX,22,Texas
699,24.0,UT,2,Utah
700,24.0,VA,86,Virginia
701,24.0,VT,8,Vermont
702,24.0,WV,2,West Virginia
703,25.0,AK,1,Alaska
704,25.0,AL,8,Alabama
705,25.0,AR,3,Arkansas
706,25.0,AZ,28,Arizona
707,25.0,CA,13,California
708,25.0,CO,1,Colorado
709,25.0,CT,102,Connecticut
710,25.0,DC,5,District of Columbia
711,25.0,DE,8,Delaware
712,25.0,FL,60,Florida
713,25.0,GA,41,Georgia
714,25.0,ID,5,Idaho
715,25.0,IL,21,Illinois
716,25.0,IN,28,Indiana
717,25.0,KS,3,Kansas
718,25.0,KY,1,Kentucky
719,25.0,LA,1,Louisiana
